Wavelength (nm),Relative Intensity (%)
619,31.5
620,31.5
621,32.7
622,33.1
623,33.2
624,33.1
625,32.9
626,32.8
627,32.5
628,33
629,33.1
630,33.2
631,33.2
632,33.9
633,33.9
634,34.3
635,34.5
636,34.7
637,34
638,35
639,36.1
640,36.1
641,35
642,35.3
643,36.7
644,36.3
645,36.8
646,36.6
647,36.4
648,35.8
649,36.2
650,36
651,35.6
652,35.7
653,36.8
654,36.9
655,36.4
656,37
657,38.2
658,38.5
659,39.3
660,38.7
661,39.6
662,39.6
663,39.2
664,38.3
665,39
666,38.6
667,39
668,39.2
669,40.1
670,39.8
671,38.5
672,39.3
673,40.1
674,40.9
675,40.7
676,40.6
677,40.8
678,40.5
679,42.7
680,43.2
681,43.1
682,43
683,43.8
684,43.3
685,41.2
686,40.1
687,41.1
688,41.3
689,42.4
690,42.4
691,42
692,42
693,42.9
694,43
695,42.9
696,42.1
697,42
698,43
699,45.1
700,46.5
701,46.9
702,46.7
703,46
704,45.8
705,44.2
706,44.1
707,45.4
708,44.7
709,44.2
710,43.2
711,44.7
712,46.4
713,44.6
714,44.2
715,44.2
716,45.5
717,46.1
718,44.9
719,45.5
720,48.4
721,48.4
722,48
723,47.9
724,48.8
725,48.8
726,49.6
727,49.7
728,47.4
729,47.5
730,49
731,50
732,50.1
733,49.5
734,48.2
735,46.7
736,48.3
737,49
738,50.2
739,50.3
740,49.2
741,48.2
742,50.8
743,54.3
744,52.3
745,52.7
746,51.5
747,52.7
748,52.6
749,51.7
750,51.3
751,50.4
752,53.1
753,55.8
754,53.9
755,52
756,52.3
757,51.8
758,51
759,52.1
760,53.4
761,54.6
762,54
763,55.1
764,57.3
765,58.5
766,56.8
767,54
768,52.5
769,52.9
770,54.4
771,57.5
772,59.2
773,56.7
774,53.9
775,53
776,53.5
777,54.8
778,55.8
779,58.3
780,58.6
781,56.5
782,56.7
783,57.8
784,57.3
785,57.3
786,58.1
787,57.3
788,54.7
789,55.2
790,56.6
791,58.2
792,55
793,57.8
794,57
795,54.6
796,57.3
797,58.4
798,59.3
799,61
800,58.6
801,57.2
802,55.5
803,54.9
804,54.3
805,57.8
806,60.6
807,58.5
808,56.9
809,55.4
810,56.4
811,57.9
812,60.1
813,63.7
814,63
815,63.1
816,60.5
817,60.1
818,58.7
819,58
820,59
821,61.3
822,58.7
823,59.8
824,62.2
825,62.9
826,65.4
827,66.5
828,68.5
829,67.1
830,67
831,67.9
832,61.8
833,59.3
834,55.7
835,55.1
836,54
837,53.4
838,57.7
839,58.3
840,60.6
841,63.2
842,63.2
843,63
844,65.6
845,67.5
846,66.7
847,67
848,66.7
849,66.7
850,61.7
851,62.9
852,62.1
853,63.2
854,66.8
855,67.9
856,67.3
857,69.7
858,73.6
859,70.8
860,68.6
861,66.7
862,65.1
863,63.8
864,60.7
865,62.2
866,63.7
867,60
868,60
869,61.4
870,63.5
871,64.2
872,66
873,67.1
874,63.9
875,64.8
876,63.6
877,64.7
878,64.9
879,65.2
880,69.4
881,67.2
882,63.7
883,68.4
884,70.9
885,75.5
886,76.6
887,76.6
888,76.6
889,68.9
890,60.8
891,63.3
892,60.8
893,61.8
894,63.9
895,66.1
896,64.4
897,63
898,64.1
899,65.4
900,64.8
901,68.5
902,68.3
903,67.8
904,60.6
905,63.2
906,65.3
907,64.2
908,69.9
909,69.5
910,69.3
911,66.4
912,69.9
913,70.8
914,68
915,68.9
916,68.9
917,66.7
918,69
919,68.3
920,65.8
921,65.3
922,68.6
923,71.8
924,73.8
925,77.2
926,82.2
927,76.6
928,68.7
929,78.5
930,75
931,76
932,80.5
933,73.6
934,73.3
935,71.7
936,70
937,65.8
938,73.7
939,70.7
940,64
941,66.9
942,70.3
943,66.4
944,65.9
945,64.6
946,66.5
947,67.6
948,72.3
949,71.6
950,72.4
951,73.9
952,66.4
953,68.7
954,66.8
955,70.1
956,67.7
957,66.6
958,65.3
959,73.8
960,70.8
961,68.4
